,text,user
0,"Iran’s anti-Israel operation redefined regional balance of power: FM

https://t.co/NLAe7VpytV",PressTV
1,"Australia police arrest man after reports of stabbing in western Sydney

https://t.co/QcQENgjpf9",PressTV
2,"US House under pressure to urgently act on ‘war-time’ aid for Israel

https://t.co/UA38cR7jNE",PressTV
3,"Israel will receive 'reciprocal, extensive' response if continues adventurism: Iran foreign minister

https://t.co/Bw4pzYeJH0",PressTV
4,"RT @PalHighlight: Viral footage shows Zionist settlers attacking Khirbat Al-Tawil near Aqraba, southeast of Nablus. https://t.co/A7vCTNFC48",PressTV
5,"Aid groups warn of looming famine in Sudan

https://t.co/uRtiGbz6Kf",PressTV
6,"✍️ Conversation -Iran's retaliatory military action against Israel contributes to global peace: Analyst

https://t.co/ouDvcdh75X",PressTV
7,RT @PTVBreaking1: Hamas condemns Zionist entity for mass-burial of civilians in courtyards of Shifa hospital in Gaza https://t.co/qxhJzyG7kf,PressTV
8,RT @PTVBreaking1: Hezbollah forces target Zionist military positions in occupied Lebanese hills of Kfar Shuba with rockets https://t.co/LGP…,PressTV
9,"RT @PTVBreaking1: Palestinian Red Crescent: Zionist settlers murder 2 people in Aqrabah village, occupied West Bank https://t.co/unLYWPRLwM",PressTV
10,"RT @PalHighlight: Pro-Palestine activists in Lyon, France dyed a fountain red to protest the deaths of children in Gaza and call on the gov…",PressTV
11,"RT @PresstvExtra: More than 125,000 people have been displaced as floods engulfed swathes of northern Kazakhstan and Russia's Urals region.…",PressTV
12,"""It's nothing more than lip service""

@mikopeled says despite popular demand in the US for a ceasefire in Gaza, the US president only pays lip service to those demands.

@OutWithGalloway https://t.co/Rk77Yu1GuD",PressTV
13,Iran's retaliatory strikes against Israel cement its position as a regional power https://t.co/mwav4nk72A,PressTV
14,"RT @PalHighlight: New mass grave was uncovered at Gaza's Al-Shifa Medical Complex, containing decomposed bodies of Palestinian martyrs buri…",PressTV
15,"Foreign Minister Hossein Amir-Abdollahian stated that the UN's failure to condemn the Israeli regime's deadly attack on Iran's diplomatic premises in Damascus on April 1 led Iran to punish Tel Aviv.

https://t.co/SBdXtL2d4j https://t.co/pwWJuSgGFx",PressTV
16,Newly released footage shows when Iran launched dozens of Shahed drones against occupied territories in Operation True Promise https://t.co/1kddWZSjRe,PressTV
17,"The Iranian Army Chief Commander Major General Abdolrahim Mousavi says the country will not hesitate to give a “stormy and unified” response to any act of aggression against it.

https://t.co/riJFrTsXIC https://t.co/9OLVRnFh5j",PressTV
18,RT @PTVBreaking1: Zionist regime military confirms at least 4 troopers injured in Tel Ismail area close to Lebanese border https://t.co/eUn…,PressTV
19,RT @PalHighlight: Thousands of pro-Palestine demonstrators held a rally in Canada's Edmonton to demand an arms embargo on Israel and call f…,PressTV
20,"Israel continues to block aid deliveries into famine-stricken Gaza: Rights group

https://t.co/DwnCmYfXL0",PressTV
21,Watch: Video shows the moment Iran fired numerous cruise missiles against occupied territories in Operation True Promise https://t.co/a9meHa7mAr,PressTV
22,"Iran’s retaliatory attack against Israel ‘necessary, appropriate’: FM spokesman

https://t.co/O9JaPcH9A5",PressTV
23,"El-Fasher clashes raise concerns of expanding conflict in Sudan’s Darfur

https://t.co/QCwMnIPYcF",PressTV
24,"'Ten times stronger': Iran warns Israel of much harsher response if evil actions continue

https://t.co/Iy6ryZSHBv",PressTV
25,"'The sense of security is gone' for Israel.
 
@S_Mahendrarajah says that if Israel escalates with Iran, Iran will launch waves of missiles toward occupied Palestine, potentially causing Israel to exhaust their supply of intercept missiles. https://t.co/U5lFM3Tm1S",PressTV
26,"RT @PTVBreaking1: Hezbollah says killed, injured several Israeli forces near Lebanon's southern border. https://t.co/G5V399hm8K",PressTV
27,RT @PalHighlight: Jewish protesters burn the Israeli flag to denounce the regime's months-long genocide of tens of thousands of Palestinian…,PressTV
28,"RT @PalHighlight: It is not just Gaza, Palestinians are massacred everywhere!

Palestinian youth Yazan Shtayyeh was shot dead by Israeli so…",PressTV
29,"RT @PTVBreaking1: Police: Man arrested after reports of ""a number of people"" stabbed in Western Sydney. https://t.co/X1mIhLNcta",PressTV
30,"✍️ Feature - Heroic and brave: World lauds Islamic Republic of Iran for teaching Israel a lesson

By @HumairaAhad_83 

https://t.co/4kSzI5Yb8a",PressTV
31,"RT @PresstvExtra: UK Foreign Secretary David Cameron: Iran attacking Israel was ""reckless""

Journalist: What would Britain do if our consul…",PressTV
32,"Iran's operation against Israel showed the regime and its allies that Tehran possesses a viable deterrence, and it will strike those who strike Iran, says @RealScottRitter. https://t.co/4n4mnMXUAi",PressTV
33,"RT @PalHighlight: Malak Mohammed Haniyeh, granddaughter of the head of Hamas political bureau, Ismail Haniyeh, has succumbed to her injurie…",PressTV
34,"All the hypersonic missiles used in Iran's punitive strikes against Israel have hit their targets after evading the regime's air defense systems, Press TV reports.

Read more: 
https://t.co/t0c68ub41S https://t.co/8WbTfgEYN8",PressTV
35,"RT @PTVBreaking1: Gaza health ministry: 68 Palestinians killed, 94 injured in Israeli strikes in past 24 hours.

#GazaGenocide https://t.co…",PressTV
36,"Pakistanis celebrate Iran's retaliatory strikes on Israel, voice solidarity with Gaza

Press TV's Muhammad Toori reports from Karachi

Follow us on Telegram: https://t.co/GKZwI4ehqL https://t.co/6p6f39Lzik",PressTV
37,"RT @PTVBreaking1: Two killed following Israeli bombing of a group of Palestinians in Nuseirat refugee camp, central Gaza.

#GazaGenocide ht…",PressTV
38,"RT @PTVBreaking1: Another grandchild of Hamas political bureau chief who was in intensive care unit, dies in Gaza.

#GazaGenocide https://t…",PressTV
39,"✍️ Viewpoint - Iran's historic operation against Israel rooted in Palestine's freedom struggle

By @ijassat

https://t.co/21mFjFF1mj",PressTV
40,"Israel ‘main source of insecurity’ in West Asia: Iran’s foreign minister

https://t.co/KZUqrqGJzP…",PressTV
41,RT @PTVBreaking1: Iran's Foreign Ministry Spksmn: Tehran move to hit Israeli targets in line with its right to self-defense https://t.co/Uu…,PressTV
42,"Era of strategic patience 'over'; Israel's war between wars defeated: Raeisi's deputy 

https://t.co/3BEWgq4033",PressTV
43,Iran's Foreign Ministry Spksmn: Tehran move to hit Israeli targets in line with its right to self-defense https://t.co/yhUHsPUVhH,PressTV
44,"Press TV exclusive: All hypersonic missiles used in Iran's strikes against Israel hit targets

https://t.co/t0c68ub41S",PressTV
45,"Footage shows maneuverability of an Iranian missile used in True Promise operation and its ability to evade Israeli air defense system. 

#OperationTruePromise https://t.co/VitCkCuLxQ",PressTV
